* * * * * * * * *
Parameters => Epochs: 100, Learning Rate: 0.100000
Type of network used: CustomNetwork
Input Nodes: 196, Hidden Nodes: 10, Output Nodes: 10
* * * * * * * * *
1 Performance: 0.10133333 0.099 0.109
2 Performance: 0.09922222 0.105 0.096
3 Performance: 0.09922222 0.105 0.096
4 Performance: 0.09922222 0.105 0.096
5 Performance: 0.09922222 0.105 0.096
6 Performance: 0.09922222 0.105 0.096
7 Performance: 0.09922222 0.105 0.096
8 Performance: 0.09922222 0.105 0.096
9 Performance: 0.09922222 0.105 0.096
10 Performance: 0.09922222 0.105 0.096
11 Performance: 0.09922222 0.105 0.096
12 Performance: 0.09922222 0.105 0.096
13 Performance: 0.09922222 0.105 0.096
14 Performance: 0.09922222 0.105 0.096
15 Performance: 0.09922222 0.105 0.096
16 Performance: 0.09922222 0.105 0.096
17 Performance: 0.09922222 0.105 0.096
18 Performance: 0.09922222 0.105 0.096
19 Performance: 0.09922222 0.105 0.096
20 Performance: 0.09922222 0.105 0.096
21 Performance: 0.09922222 0.105 0.096
22 Performance: 0.09922222 0.105 0.096
23 Performance: 0.09922222 0.105 0.096
24 Performance: 0.09922222 0.105 0.096
25 Performance: 0.09922222 0.105 0.096
26 Performance: 0.20077778 0.191 0.203
27 Performance: 0.21222222 0.194 0.212
28 Performance: 0.21288889 0.195 0.213
29 Performance: 0.21977778 0.203 0.219
30 Performance: 0.27566667 0.258 0.281
31 Performance: 0.31077778 0.284 0.305
32 Performance: 0.32633333 0.303 0.316
33 Performance: 0.32800000 0.299 0.310
34 Performance: 0.32677778 0.291 0.316
35 Performance: 0.32488889 0.287 0.328
36 Performance: 0.32611111 0.286 0.331
37 Performance: 0.33022222 0.289 0.335
38 Performance: 0.33388889 0.291 0.337
39 Performance: 0.34000000 0.306 0.340
40 Performance: 0.35044444 0.319 0.355
41 Performance: 0.35644444 0.335 0.372
42 Performance: 0.42655556 0.388 0.455
43 Performance: 0.50188889 0.448 0.524
44 Performance: 0.55522222 0.515 0.588
45 Performance: 0.57833333 0.550 0.610
46 Performance: 0.59488889 0.567 0.615
47 Performance: 0.60144444 0.571 0.613
48 Performance: 0.60488889 0.577 0.621
49 Performance: 0.60744444 0.575 0.626
50 Performance: 0.60733333 0.582 0.625
51 Performance: 0.60466667 0.571 0.628
52 Performance: 0.60288889 0.564 0.627
53 Performance: 0.60622222 0.566 0.632
54 Performance: 0.61033333 0.573 0.638
55 Performance: 0.61433333 0.577 0.642
56 Performance: 0.61733333 0.579 0.641
57 Performance: 0.61888889 0.583 0.640
58 Performance: 0.62055556 0.587 0.644
59 Performance: 0.62277778 0.589 0.648
60 Performance: 0.62466667 0.590 0.650
61 Performance: 0.62500000 0.588 0.654
62 Performance: 0.62711111 0.588 0.653
63 Performance: 0.62977778 0.594 0.661
64 Performance: 0.63322222 0.598 0.668
65 Performance: 0.63622222 0.600 0.669
66 Performance: 0.63977778 0.602 0.673
67 Performance: 0.64311111 0.604 0.673
68 Performance: 0.64877778 0.604 0.677
69 Performance: 0.65577778 0.615 0.684
70 Performance: 0.67344444 0.631 0.700
71 Performance: 0.70077778 0.657 0.723
72 Performance: 0.71444444 0.671 0.734
73 Performance: 0.72666667 0.687 0.741
74 Performance: 0.73333333 0.689 0.744
75 Performance: 0.73477778 0.686 0.745
76 Performance: 0.73833333 0.691 0.742
77 Performance: 0.73577778 0.693 0.744
78 Performance: 0.73844444 0.697 0.747
79 Performance: 0.73711111 0.702 0.744
80 Performance: 0.73811111 0.708 0.745
81 Performance: 0.73900000 0.711 0.744
82 Performance: 0.74000000 0.713 0.745
83 Performance: 0.74311111 0.713 0.743
84 Performance: 0.74688889 0.716 0.746
85 Performance: 0.74988889 0.714 0.754
86 Performance: 0.75788889 0.723 0.762
87 Performance: 0.76355556 0.720 0.769
88 Performance: 0.76088889 0.722 0.763
89 Performance: 0.75966667 0.722 0.763
90 Performance: 0.76000000 0.720 0.763
91 Performance: 0.76077778 0.722 0.763
92 Performance: 0.76155556 0.724 0.762
93 Performance: 0.76322222 0.722 0.762
94 Performance: 0.76633333 0.722 0.766
95 Performance: 0.76788889 0.724 0.769
96 Performance: 0.77266667 0.728 0.770
97 Performance: 0.78166667 0.735 0.774
98 Performance: 0.79088889 0.745 0.782
99 Performance: 0.79477778 0.749 0.798
100 Performance: 0.79533333 0.749 0.802
